,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
339,0,0,3.9,206,3,31,362,450.0,214
340,0,0,3.9,100,3,31,364,300.0,214
341,1,0,4.2,444,3,31,346,100.0,164
342,0,0,3.9,133,3,11,211,650.0,214
343,1,0,4.0,219,3,7,108,600.0,203
344,0,0,4.2,253,3,31,346,250.0,214
345,0,0,3.7,61,3,11,64,600.0,214
346,1,0,3.8,155,9,11,360,400.0,175
347,1,0,3.9,233,6,11,217,800.0,35
348,1,0,3.7,264,9,11,263,750.0,151
349,0,0,4.1,238,3,31,346,600.0,214
350,1,0,4.1,176,3,11,12,800.0,138
351,1,0,3.7,93,3,31,375,200.0,70
352,0,0,3.8,124,3,31,359,300.0,214
353,1,0,4.3,275,3,31,346,100.0,214
354,0,0,4.2,254,3,31,346,150.0,214
355,0,0,4.1,177,3,31,346,100.0,214
356,1,0,4.0,132,3,31,174,200.0,214
357,1,0,3.8,74,3,31,364,300.0,184
358,1,0,3.6,172,14,11,258,700.0,214
359,1,0,3.9,543,3,31,358,300.0,214
360,0,0,4.0,52,3,31,346,300.0,214
361,0,0,3.7,217,3,11,284,450.0,214
362,0,0,3.9,111,3,11,277,700.0,214
363,1,0,3.8,133,3,31,376,200.0,189
364,0,0,3.8,39,6,31,363,250.0,214
365,0,0,4.0,64,3,31,346,200.0,214
366,0,0,3.8,148,3,31,190,150.0,214
367,0,0,3.8,55,13,21,138,300.0,214
368,0,1,3.8,977,1,23,191,1300.0,214
369,0,0,4.1,868,1,28,157,1200.0,214
370,0,0,3.3,62,1,2,364,800.0,214
371,0,0,3.0,98,1,2,258,800.0,214
372,0,0,2.7,377,3,28,286,1100.0,214
373,1,1,4.4,2487,2,28,298,900.0,214
374,1,1,4.2,1964,2,11,17,1000.0,19
375,1,0,4.3,3178,2,11,307,750.0,121
376,1,0,3.3,455,2,11,8,550.0,99
377,0,1,4.7,3845,5,11,293,1600.0,214
378,0,0,4.3,353,5,11,309,1200.0,214
379,0,1,4.1,1234,5,11,312,800.0,214
380,1,1,4.1,1538,5,11,21,1000.0,58
381,1,1,3.8,756,5,11,247,1000.0,214
382,1,1,4.0,347,5,11,287,1000.0,214
383,0,1,4.0,165,5,11,366,1000.0,214
384,0,0,3.3,177,5,11,269,950.0,214
385,1,0,3.0,102,0,11,364,600.0,117
386,0,1,4.0,200,2,7,87,700.0,214
387,1,0,3.9,102,2,7,79,450.0,206
388,1,0,3.7,171,2,7,73,300.0,51
389,1,0,3.7,37,2,7,80,400.0,124
390,1,0,3.9,40,2,20,104,400.0,25
391,0,0,3.9,125,2,7,107,500.0,214
392,1,0,3.9,49,2,7,73,600.0,73
393,0,0,3.8,69,2,8,78,700.0,214
394,0,0,3.9,78,2,7,73,350.0,214
395,1,0,2.7,48,2,32,128,650.0,145
396,1,0,4.1,46,5,7,120,600.0,192
397,0,0,4.0,129,5,7,87,600.0,214
398,1,1,3.9,727,5,7,97,800.0,15
399,0,0,4.1,521,5,7,94,550.0,214
400,1,0,4.1,203,5,32,83,650.0,12
401,1,1,4.4,4381,5,13,326,600.0,95
402,1,0,3.7,131,5,7,121,400.0,114
403,1,0,3.7,46,5,7,66,450.0,209
404,0,0,3.4,48,5,7,100,550.0,214
405,1,0,3.7,127,5,7,113,700.0,21
406,1,0,2.7,85,5,7,118,500.0,129
407,1,0,4.5,1178,0,16,199,500.0,214
408,1,0,3.7,335,0,11,11,800.0,214
409,1,0,3.8,254,0,11,51,800.0,103
410,1,0,4.1,63,5,36,189,300.0,93
411,1,0,4.0,244,0,31,29,400.0,214
412,1,0,2.9,255,0,31,247,250.0,214
413,1,0,4.5,549,0,17,165,400.0,214
414,1,0,4.1,775,0,31,368,300.0,214
415,1,0,3.6,208,5,36,53,300.0,207
416,1,0,4.1,739,5,16,131,500.0,195
417,1,0,3.8,310,2,31,247,400.0,47
418,1,0,4.0,126,0,31,247,150.0,81
